index,source,target,depth
0,american,teenage,1
1,american,citizens,2
2,teenage,girl,1
3,teenage,young,2
4,girl,visiting,1
5,girl,young,2
6,girl,adolescent,1
7,girl,daughter,1
8,girl,lady,1
9,girl,schoolgirl,1
10,girl,teenager,1
11,visiting,child,1
12,visiting,None,2
13,child,africa,1
14,child,family,2
15,child,juvenile,1
16,child,kid,1
17,child,minor,1
18,child,offspring,1
19,child,youngster,1
20,child,cell,1
21,africa,African,2
22,africa,woman,1
23,citizens,residents,3
24,citizens,None,3
25,residents,United,3
26,residents,None,3
27,United,States,3
28,United,association,3
29,States,America,3
30,States,citizens,3
31,America,sovereign,3
32,young,person,2
33,young,female,2
34,young,asteroid,3
35,person,between,2
36,person,painter,3
37,between,13,2
38,between,band,3
39,13,19,2
40,13,year,3
41,19,years,2
42,19,year,3
43,years,old,2
44,years,song,3
45,old,dictionary,3
46,female,human,2
47,female,female,3
48,female,adult,3
49,human,total,3
50,None,None,3
51,family,persons,3
52,African,studies,2
53,African,inhabitants,3
54,African,continent,3
55,studies,academic,2
56,studies,journal,3
57,academic,journal,2
58,academic,academic,3
59,academic,staff,3
60,journal,journal,3
61,association,football,3
62,sovereign,state,3
63,painter,France,3
64,total,world,3
65,persons,related,3
66,inhabitants,ascendants,3
67,football,club,3
68,club,"Sheffield,",3
69,"Sheffield,",England,3
70,state,North,3
71,North,America,3
72,France,(1609-1667),3
73,adult,human,3
74,world,population,3
75,population,humans,3
76,related,"birth,",3
77,"birth,","marriage,",3
78,"marriage,","adoption,",3
79,"adoption,",civil,3
80,civil,"union,",3
81,"union,",similar,3
82,similar,legal,3
83,legal,"status,",3
84,"status,",present,3
85,present,family,3
86,ascendants,African,3
87,looking,child,1
88,cell,phone,1
